Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
1,long_input_short_output,0.1085958480834961,0.6862454414367676,0.7948412895202637,1,no,yes
2,short_input_short_output,0.1119089126586914,0.7143282890319824,0.8262372016906738,1,no,yes
5,long_input_short_output,0.04082798957824707,0.6393883228302002,0.6802163124084473,1,no,yes
7,long_input_short_output,0.030013561248779297,0.7438905239105225,0.7739040851593018,1,no,yes
9,long_input_short_output,0.020215988159179688,0.7859666347503662,0.8061826229095459,1,no,yes
13,long_input_short_output,0.049471139907836914,0.9678661823272705,1.0173373222351074,1,no,no
14,short_input_short_output,0.04062509536743164,1.009512186050415,1.0501372814178467,1,no,no
12,short_input_short_output,0.07863783836364746,1.0140776634216309,1.0927155017852783,1,no,no
16,long_input_short_output,0.03920698165893555,0.8971989154815674,0.9364058971405029,1,no,yes
15,short_input_short_output,0.03670382499694824,0.9426767826080322,0.9793806076049805,1,no,yes
20,long_input_short_output,0.07462573051452637,0.8308405876159668,0.9054663181304932,1,no,yes
22,long_input_short_output,0.03336167335510254,0.8020534515380859,0.8354151248931885,1,no,yes
24,short_input_short_output,0.04352831840515137,0.8409531116485596,0.8844814300537109,1,no,yes
26,long_input_short_output,0.038073062896728516,0.8826627731323242,0.9207358360290527,1,no,yes
27,long_input_short_output,0.03427600860595703,0.8701276779174805,0.9044036865234375,1,no,yes
29,short_input_short_output,0.04281497001647949,0.9805314540863037,1.0233464241027832,1,no,no
30,short_input_short_output,0.04430866241455078,0.9699552059173584,1.0142638683319092,1,no,no
33,short_input_short_output,0.04204845428466797,0.9907393455505371,1.032787799835205,1,no,no
35,short_input_short_output,0.07417106628417969,0.9120242595672607,0.9861953258514404,1,no,yes
38,short_input_short_output,0.044669389724731445,0.8345060348510742,0.8791754245758057,1,no,yes
40,long_input_short_output,0.04629778861999512,0.7600388526916504,0.8063366413116455,1,no,yes
39,short_input_short_output,0.035314083099365234,0.8183956146240234,0.8537096977233887,1,no,yes
43,short_input_short_output,0.0435333251953125,0.7583882808685303,0.8019216060638428,1,no,yes
44,long_input_short_output,0.03621530532836914,0.7022051811218262,0.7384204864501953,1,no,yes
45,long_input_short_output,0.039769887924194336,0.6865842342376709,0.7263541221618652,1,no,yes
48,short_input_short_output,0.04688739776611328,0.8486328125,0.8955202102661133,1,no,yes
4,short_input_long_output,0.13720297813415527,6.5856146812438965,6.722817659378052,8,no,yes
49,long_input_short_output,0.04012250900268555,0.8016772270202637,0.8417997360229492,1,no,yes
50,long_input_short_output,0.04338502883911133,0.7782347202301025,0.8216197490692139,1,no,yes
51,short_input_short_output,0.04060626029968262,0.80428147315979,0.8448877334594727,1,no,yes
52,long_input_short_output,0.03456687927246094,0.7470993995666504,0.7816662788391113,1,no,yes
53,short_input_short_output,0.04325509071350098,0.7720682621002197,0.8153233528137207,1,no,yes
54,long_input_short_output,0.045461416244506836,0.7102689743041992,0.755730390548706,1,no,yes
8,short_input_long_output,0.13837480545043945,6.58232307434082,6.72069787979126,8,no,yes
55,long_input_short_output,0.0384671688079834,0.6975018978118896,0.735969066619873,1,no,yes
11,short_input_long_output,0.058777570724487305,6.759305953979492,6.8180835247039795,8,no,yes
17,short_input_long_output,0.10633420944213867,6.618030309677124,6.724364519119263,8,no,yes
18,short_input_long_output,0.0944375991821289,6.58401083946228,6.678448438644409,8,no,yes
21,short_input_long_output,0.13434624671936035,6.537785291671753,6.672131538391113,8,no,yes
59,long_input_short_output,0.0458674430847168,0.8252346515655518,0.8711020946502686,1,no,yes
57,long_input_short_output,0.03935837745666504,0.8401384353637695,0.8794968128204346,1,no,yes
62,long_input_short_output,0.048642635345458984,0.7361159324645996,0.7847585678100586,1,no,yes
63,short_input_short_output,0.0537114143371582,0.8158378601074219,0.8695492744445801,1,no,yes
64,short_input_short_output,0.045507192611694336,0.799644947052002,0.8451521396636963,1,no,yes
67,short_input_short_output,0.0463411808013916,0.8457450866699219,0.8920862674713135,1,no,yes
68,short_input_short_output,0.04721236228942871,0.8359518051147461,0.8831641674041748,1,no,yes
36,short_input_long_output,0.07560372352600098,6.321866273880005,6.397469997406006,8,no,yes
0,long_input_long_output,0.17676687240600586,10.330848932266235,10.507615804672241,12,no,yes
69,short_input_short_output,0.05782437324523926,0.8315742015838623,0.8893985748291016,1,no,yes
3,long_input_long_output,0.09734916687011719,10.311872720718384,10.409221887588501,12,no,yes
42,short_input_long_output,0.07187414169311523,6.283853530883789,6.355727672576904,8,no,yes
77,short_input_short_output,0.04947996139526367,0.8730237483978271,0.9225037097930908,1,no,yes
6,long_input_long_output,0.15818548202514648,10.48225712776184,10.640442609786987,12,no,yes
80,short_input_short_output,0.049437522888183594,0.9483902454376221,0.9978277683258057,1,no,yes
85,long_input_short_output,0.04680919647216797,0.8106317520141602,0.8574409484863281,1,no,yes
10,long_input_long_output,0.27721571922302246,10.57577395439148,10.852989673614502,12,no,yes
86,long_input_short_output,0.0518643856048584,0.7984082698822021,0.8502726554870605,1,no,yes
87,short_input_short_output,0.054443359375,0.8394811153411865,0.8939244747161865,1,no,yes
19,long_input_long_output,0.20660114288330078,10.48179316520691,10.68839430809021,12,no,yes
23,long_input_long_output,0.12613558769226074,10.394563436508179,10.52069902420044,12,no,yes
93,long_input_short_output,0.04581141471862793,0.7942981719970703,0.8401095867156982,1,no,yes
94,long_input_short_output,0.05238175392150879,0.7792191505432129,0.8316009044647217,1,no,yes
25,long_input_long_output,0.17435359954833984,10.42798376083374,10.60233736038208,12,no,yes
96,short_input_short_output,0.04206085205078125,0.8149232864379883,0.8569841384887695,1,no,yes
99,short_input_short_output,0.039363861083984375,0.7906248569488525,0.8299887180328369,1,no,yes
28,long_input_long_output,0.08513283729553223,10.38883376121521,10.473966598510742,12,no,yes
31,long_input_long_output,0.10008835792541504,10.290594577789307,10.390682935714722,12,no,yes
32,long_input_long_output,0.14754199981689453,10.227437496185303,10.374979496002197,12,no,yes
34,long_input_long_output,0.14880919456481934,10.082391500473022,10.231200695037842,12,no,yes
56,short_input_long_output,0.3647606372833252,6.247931480407715,6.61269211769104,8,no,yes
37,long_input_long_output,0.1572437286376953,9.94106149673462,10.098305225372314,12,no,yes
58,short_input_long_output,0.25722169876098633,6.199662208557129,6.456883907318115,8,no,yes
61,short_input_long_output,0.2981729507446289,6.080429315567017,6.3786022663116455,8,no,yes
66,short_input_long_output,0.3840484619140625,5.790824890136719,6.174873352050781,8,no,yes
72,short_input_long_output,0.08175516128540039,5.611335039138794,5.693090200424194,8,no,yes
70,short_input_long_output,0.47461724281311035,5.531443119049072,6.006060361862183,8,no,yes
78,short_input_long_output,0.22908806800842285,5.363521099090576,5.592609167098999,8,no,yes
79,short_input_long_output,0.2783384323120117,5.309464693069458,5.58780312538147,8,no,yes
83,short_input_long_output,0.35158205032348633,5.058333873748779,5.409915924072266,8,no,yes
90,short_input_long_output,0.21975183486938477,4.983178615570068,5.202930450439453,8,no,yes
98,short_input_long_output,0.8999485969543457,4.490208625793457,5.390157222747803,8,no,yes
81,long_input_long_output,0.1973121166229248,8.69800353050232,8.895315647125244,12,no,yes
95,long_input_long_output,0.5426878929138184,8.417847633361816,8.960535526275635,12,no,yes
47,short_input_long_output,12.093992471694946,6.147298574447632,18.241291046142578,8,yes,no
65,short_input_long_output,9.267382860183716,6.065903425216675,15.33328628540039,8,yes,no
84,short_input_long_output,7.453749418258667,5.926750898361206,13.380500316619873,8,yes,no
88,short_input_long_output,7.121900796890259,5.8957555294036865,13.017656326293945,8,yes,no
76,short_input_long_output,8.629041194915771,5.8050713539123535,14.434112548828125,8,yes,no
89,short_input_long_output,7.345147132873535,5.769315004348755,13.11446213722229,8,yes,no
97,long_input_long_output,4.3568713665008545,8.839999437332153,13.196870803833008,12,no,no
46,long_input_long_output,12.534119129180908,8.862208604812622,21.39632773399353,12,yes,no
41,long_input_long_output,13.870827198028564,8.771697044372559,22.642524242401123,12,yes,no
60,long_input_long_output,10.567906141281128,8.713541984558105,19.281448125839233,12,yes,no
73,long_input_long_output,8.8341064453125,8.581049680709839,17.41515612602234,12,yes,no
74,long_input_long_output,9.059466123580933,8.439773082733154,17.499239206314087,12,yes,no
71,long_input_long_output,9.363873958587646,8.377264738082886,17.741138696670532,12,yes,no
75,long_input_long_output,9.104290246963501,8.313995838165283,17.418286085128784,12,yes,no
82,long_input_long_output,8.392165660858154,8.248479843139648,16.640645503997803,12,yes,no
91,long_input_long_output,7.522620439529419,8.179041147232056,15.701661586761475,12,yes,no
92,long_input_long_output,7.618326663970947,8.1083242893219,15.726650953292847,12,yes,no
