Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
2,short_input_short_output,0.03320503234863281,0.6006364822387695,0.6338415145874023,1,no,yes
0,long_input_long_output,0.1110239028930664,6.925676345825195,7.036700248718262,12,no,yes
1,long_input_long_output,0.11630105972290039,6.909834384918213,7.026135444641113,12,no,yes
3,long_input_long_output,0.13303112983703613,6.84037184715271,6.973402976989746,12,no,yes
4,long_input_long_output,0.09845924377441406,6.810818433761597,6.909277677536011,12,no,yes
5,long_input_long_output,0.1498117446899414,6.751283168792725,6.901094913482666,12,no,yes
6,short_input_long_output,0.10929369926452637,4.226627588272095,4.335921287536621,8,no,yes
7,short_input_long_output,0.09794783592224121,4.3799333572387695,4.477881193161011,8,no,yes
12,long_input_short_output,0.05242490768432617,0.5206120014190674,0.5730369091033936,1,no,yes
9,short_input_long_output,0.0983431339263916,4.315153121948242,4.413496255874634,8,no,yes
13,long_input_short_output,0.04915952682495117,0.5098719596862793,0.5590314865112305,1,no,yes
10,short_input_long_output,0.09857487678527832,4.297147512435913,4.395722389221191,8,no,yes
8,long_input_long_output,0.1749420166015625,6.9436962604522705,7.118638277053833,12,no,yes
11,long_input_long_output,0.13701725006103516,6.808443546295166,6.945460796356201,12,no,yes
15,short_input_long_output,0.16308927536010742,4.306332111358643,4.46942138671875,8,no,yes
14,long_input_long_output,0.17006349563598633,6.936098098754883,7.106161594390869,12,no,yes
17,short_input_long_output,0.11171340942382812,4.328141450881958,4.439854860305786,8,no,yes
18,short_input_long_output,0.15012168884277344,4.498060941696167,4.64818263053894,8,no,yes
16,long_input_long_output,0.18016481399536133,7.09477162361145,7.2749364376068115,12,no,yes
19,long_input_long_output,0.19347023963928223,7.051008462905884,7.244478702545166,12,no,yes
20,short_input_long_output,0.1392221450805664,4.498718976974487,4.637941122055054,8,no,yes
22,short_input_long_output,0.11703753471374512,4.39249849319458,4.509536027908325,8,no,yes
21,long_input_long_output,0.10928106307983398,7.003066301345825,7.112347364425659,12,no,yes
24,short_input_long_output,0.1762523651123047,4.3087708950042725,4.485023260116577,8,no,yes
23,long_input_long_output,0.19362974166870117,6.896942377090454,7.090572118759155,12,no,yes
