Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
2,short_input_short_output,0.09933042526245117,0.7992990016937256,0.8986294269561768,1,no,yes
12,long_input_short_output,0.05844998359680176,0.8157286643981934,0.8741786479949951,1,no,yes
13,long_input_short_output,0.08548521995544434,0.795478343963623,0.8809635639190674,1,no,yes
30,long_input_short_output,0.04805898666381836,0.7366242408752441,0.7846832275390625,1,no,yes
32,short_input_short_output,0.04970884323120117,0.7803266048431396,0.8300354480743408,1,no,yes
6,short_input_long_output,0.1227712631225586,6.046431064605713,6.1692023277282715,8,no,yes
35,short_input_short_output,0.04017281532287598,0.7632734775543213,0.8034462928771973,1,no,yes
37,long_input_short_output,0.04479789733886719,0.7781295776367188,0.8229274749755859,1,no,yes
7,short_input_long_output,0.1438450813293457,6.1751508712768555,6.318995952606201,8,no,yes
43,long_input_short_output,0.05011796951293945,0.7042908668518066,0.7544088363647461,1,no,yes
9,short_input_long_output,0.1318676471710205,6.225656270980835,6.3575239181518555,8,no,yes
10,short_input_long_output,0.30000853538513184,6.205909490585327,6.505918025970459,8,no,yes
15,short_input_long_output,0.0630192756652832,6.136676788330078,6.199696063995361,8,no,yes
50,long_input_short_output,0.049329519271850586,0.794853687286377,0.8441832065582275,1,no,yes
17,short_input_long_output,0.11612462997436523,6.19095516204834,6.307079792022705,8,no,yes
18,short_input_long_output,0.107269287109375,6.3215014934539795,6.4287707805633545,8,no,yes
20,short_input_long_output,0.19524288177490234,6.2509074211120605,6.446150302886963,8,no,yes
0,long_input_long_output,0.18171429634094238,9.735181093215942,9.916895389556885,12,no,yes
1,long_input_long_output,0.2157752513885498,9.695495843887329,9.911271095275879,12,no,yes
22,short_input_long_output,0.16481709480285645,6.15508246421814,6.319899559020996,8,no,yes
4,long_input_long_output,0.23431062698364258,9.649435043334961,9.883745670318604,12,no,yes
3,long_input_long_output,0.34189534187316895,9.595841646194458,9.937736988067627,12,no,yes
5,long_input_long_output,0.16348528861999512,9.54099988937378,9.704485177993774,12,no,yes
55,short_input_short_output,0.0453338623046875,0.7991819381713867,0.8445158004760742,1,no,yes
57,short_input_short_output,0.044732093811035156,0.6819963455200195,0.7267284393310547,1,no,yes
24,short_input_long_output,0.09459829330444336,5.983649015426636,6.078247308731079,8,no,yes
60,short_input_short_output,0.044939517974853516,0.6260547637939453,0.6709942817687988,1,no,yes
63,short_input_short_output,0.05468416213989258,0.7143049240112305,0.768989086151123,1,no,yes
8,long_input_long_output,0.14975404739379883,9.690857887268066,9.840611934661865,12,no,yes
68,long_input_short_output,0.03512740135192871,0.8236401081085205,0.8587675094604492,1,no,yes
11,long_input_long_output,0.20826005935668945,9.79494309425354,10.00320315361023,12,no,yes
14,long_input_long_output,0.09520363807678223,9.77347469329834,9.868678331375122,12,no,yes
16,long_input_long_output,0.13808727264404297,9.761826038360596,9.899913311004639,12,no,yes
74,long_input_short_output,0.04294991493225098,0.7610173225402832,0.8039672374725342,1,no,yes
77,long_input_short_output,0.05217599868774414,0.7346363067626953,0.7868123054504395,1,no,yes
19,long_input_long_output,0.2284259796142578,9.724819421768188,9.953245401382446,12,no,yes
21,long_input_long_output,0.18885159492492676,9.629967451095581,9.818819046020508,12,no,yes
23,long_input_long_output,0.14471936225891113,9.552322149276733,9.697041511535645,12,no,yes
80,long_input_short_output,0.056763410568237305,0.6858639717102051,0.7426273822784424,1,no,yes
81,short_input_short_output,0.05280494689941406,0.721928596496582,0.7747335433959961,1,no,yes
86,short_input_short_output,0.052994728088378906,0.7071924209594727,0.7601871490478516,1,no,yes
49,short_input_long_output,0.20322680473327637,5.844146966934204,6.0473737716674805,8,no,yes
93,short_input_short_output,0.04494786262512207,0.613753080368042,0.6587009429931641,1,no,yes
56,short_input_long_output,1.5888445377349854,5.4447479248046875,7.033592462539673,8,no,yes
41,long_input_long_output,0.538562536239624,8.959227561950684,9.497790098190308,12,no,yes
62,short_input_long_output,0.8970108032226562,5.328953504562378,6.225964307785034,8,no,yes
48,long_input_long_output,0.7601990699768066,8.67892599105835,9.439125061035156,12,no,yes
69,short_input_long_output,1.6290473937988281,5.095975399017334,6.725022792816162,8,no,yes
52,long_input_long_output,0.8021018505096436,8.54064130783081,9.342743158340454,12,no,yes
72,short_input_long_output,1.998020887374878,4.960096597671509,6.958117485046387,8,no,yes
75,short_input_long_output,2.0782370567321777,4.960033178329468,7.0382702350616455,8,no,yes
59,long_input_long_output,1.1674563884735107,8.324767351150513,9.492223739624023,12,no,yes
54,long_input_long_output,2.3415005207061768,8.226184368133545,10.567684888839722,12,no,yes
58,long_input_long_output,1.8302502632141113,8.145391941070557,9.975642204284668,12,no,yes
64,long_input_long_output,1.7195312976837158,8.009072065353394,9.72860336303711,12,no,yes
66,long_input_long_output,1.37626051902771,7.931493282318115,9.307753801345825,12,no,yes
95,short_input_long_output,2.031244993209839,5.546340703964233,7.577585697174072,8,no,yes
83,long_input_long_output,1.3478612899780273,8.856645107269287,10.204506397247314,12,no,yes
94,long_input_long_output,2.6799449920654297,10.910794496536255,13.590739488601685,12,no,no
99,long_input_long_output,2.382683753967285,11.00748062133789,13.390164375305176,12,no,no
25,short_input_long_output,15.87766146659851,8.283119678497314,24.160781145095825,8,yes,no
29,short_input_long_output,15.113415718078613,8.281502962112427,23.39491868019104,8,yes,no
26,short_input_long_output,15.615905284881592,8.278237104415894,23.894142389297485,8,yes,no
42,short_input_long_output,14.102420568466187,8.273003816604614,22.3754243850708,8,yes,no
