Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
1,long_input_short_output,0.10913681983947754,0.75616455078125,0.8653013706207275,1,no,yes
2,short_input_short_output,0.10312938690185547,0.7801647186279297,0.8832941055297852,1,no,yes
5,long_input_short_output,0.027527332305908203,0.7394437789916992,0.7669711112976074,1,no,yes
7,long_input_short_output,0.08255362510681152,0.6793110370635986,0.7618646621704102,1,no,yes
9,long_input_short_output,0.05425524711608887,0.6417267322540283,0.6959819793701172,1,no,yes
12,short_input_short_output,0.04561781883239746,0.6013839244842529,0.6470017433166504,1,no,yes
13,long_input_short_output,0.0279538631439209,0.5536558628082275,0.5816097259521484,1,no,yes
14,short_input_short_output,0.04033470153808594,0.6035146713256836,0.6438493728637695,1,no,yes
16,long_input_short_output,0.04377436637878418,0.7194423675537109,0.7632167339324951,1,no,yes
15,short_input_short_output,0.04724621772766113,0.7663812637329102,0.8136274814605713,1,no,yes
20,long_input_short_output,0.06374454498291016,0.8389647006988525,0.9027092456817627,1,no,yes
22,long_input_short_output,0.03345918655395508,0.971440315246582,1.004899501800537,1,no,no
26,long_input_short_output,0.04244089126586914,0.9772117137908936,1.0196526050567627,1,no,no
24,short_input_short_output,0.08617997169494629,1.092923879623413,1.1791038513183594,1,no,no
27,long_input_short_output,0.03312325477600098,1.0180680751800537,1.0511913299560547,1,no,no
29,short_input_short_output,0.04676461219787598,1.0089449882507324,1.0557096004486084,1,no,no
30,short_input_short_output,0.04353165626525879,0.9962129592895508,1.0397446155548096,1,no,no
33,short_input_short_output,0.10139727592468262,0.880265474319458,0.9816627502441406,1,no,yes
35,short_input_short_output,0.04366612434387207,0.8350067138671875,0.8786728382110596,1,no,yes
4,short_input_long_output,0.18589448928833008,6.41269326210022,6.59858775138855,8,no,yes
40,long_input_short_output,0.05007624626159668,0.9712703227996826,1.0213465690612793,1,no,no
38,short_input_short_output,0.04882192611694336,1.0443789958953857,1.093200922012329,1,no,no
39,short_input_short_output,0.04946732521057129,1.0339980125427246,1.083465337753296,1,no,no
44,long_input_short_output,0.0725257396697998,0.8585200309753418,0.9310457706451416,1,no,yes
43,short_input_short_output,0.07549381256103516,0.9223394393920898,0.997833251953125,1,no,yes
45,long_input_short_output,0.04946446418762207,0.8496217727661133,0.8990862369537354,1,no,yes
8,short_input_long_output,0.1567692756652832,6.401698112487793,6.558467388153076,8,no,yes
48,short_input_short_output,0.08536601066589355,0.8212506771087646,0.9066166877746582,1,no,yes
11,short_input_long_output,0.11994314193725586,6.415027856826782,6.534970998764038,8,no,yes
49,long_input_short_output,0.03734183311462402,0.7803905010223389,0.8177323341369629,1,no,yes
50,long_input_short_output,0.06142711639404297,0.8008663654327393,0.8622934818267822,1,no,yes
51,short_input_short_output,0.05335712432861328,0.844677209854126,0.8980343341827393,1,no,yes
52,long_input_short_output,0.053104400634765625,0.8521053791046143,0.9052097797393799,1,no,yes
53,short_input_short_output,0.05346560478210449,0.8823931217193604,0.9358587265014648,1,no,yes
54,long_input_short_output,0.046529293060302734,0.8239855766296387,0.8705148696899414,1,no,yes
55,long_input_short_output,0.048040151596069336,0.8099367618560791,0.8579769134521484,1,no,yes
57,long_input_short_output,0.05057787895202637,0.8702483177185059,0.9208261966705322,1,no,yes
59,long_input_short_output,0.07174921035766602,0.8183133602142334,0.8900625705718994,1,no,yes
62,long_input_short_output,0.0865790843963623,0.7628743648529053,0.8494534492492676,1,no,yes
63,short_input_short_output,0.0550532341003418,0.8279972076416016,0.8830504417419434,1,no,yes
17,short_input_long_output,0.20468473434448242,7.063760995864868,7.268445730209351,8,no,yes
