Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
2,short_input_short_output,0.03835487365722656,1.0256283283233643,1.0639832019805908,1,no,no
12,long_input_short_output,0.07816529273986816,0.8226215839385986,0.9007868766784668,1,no,yes
13,long_input_short_output,0.03451037406921387,0.8229076862335205,0.8574180603027344,1,no,yes
30,long_input_short_output,0.03530740737915039,0.7181949615478516,0.753502368927002,1,no,yes
32,short_input_short_output,0.0496211051940918,0.7665624618530273,0.8161835670471191,1,no,yes
35,short_input_short_output,0.04102134704589844,0.7490561008453369,0.7900774478912354,1,no,yes
37,long_input_short_output,0.036165714263916016,0.7044277191162109,0.740593433380127,1,no,yes
43,long_input_short_output,0.0393679141998291,0.7026832103729248,0.7420511245727539,1,no,yes
50,long_input_short_output,0.045456647872924805,0.7097349166870117,0.7551915645599365,1,no,yes
55,short_input_short_output,0.0793924331665039,0.7941710948944092,0.8735635280609131,1,no,yes
57,short_input_short_output,0.0405116081237793,0.8033273220062256,0.8438389301300049,1,no,yes
60,short_input_short_output,0.05384492874145508,0.7843348979949951,0.8381798267364502,1,no,yes
7,short_input_long_output,0.15366792678833008,6.415131092071533,6.568799018859863,8,no,yes
6,short_input_long_output,0.2640955448150635,6.400200605392456,6.6642961502075195,8,no,yes
63,short_input_short_output,0.05748176574707031,0.7627995014190674,0.8202812671661377,1,no,yes
9,short_input_long_output,0.16341924667358398,6.330788612365723,6.494207859039307,8,no,yes
10,short_input_long_output,0.23012208938598633,6.328687429428101,6.558809518814087,8,no,yes
68,long_input_short_output,0.040880680084228516,0.7094132900238037,0.7502939701080322,1,no,yes
74,long_input_short_output,0.03807640075683594,0.6787128448486328,0.7167892456054688,1,no,yes
17,short_input_long_output,0.18396902084350586,6.148166179656982,6.332135200500488,8,no,yes
18,short_input_long_output,0.11158156394958496,6.111403465270996,6.222985029220581,8,no,yes
20,short_input_long_output,0.15444207191467285,6.01230788230896,6.166749954223633,8,no,yes
15,short_input_long_output,0.6724483966827393,5.981278419494629,6.653726816177368,8,no,yes
22,short_input_long_output,0.10479998588562012,5.915510416030884,6.020310401916504,8,no,yes
77,long_input_short_output,0.032250404357910156,0.8034451007843018,0.8356955051422119,1,no,yes
80,long_input_short_output,0.04035544395446777,0.7654860019683838,0.8058414459228516,1,no,yes
81,short_input_short_output,0.04457664489746094,0.7368104457855225,0.7813870906829834,1,no,yes
0,long_input_long_output,0.13591599464416504,9.938960075378418,10.074876070022583,12,no,yes
86,short_input_short_output,0.04111742973327637,0.682532548904419,0.7236499786376953,1,no,yes
1,long_input_long_output,0.14072346687316895,9.920149326324463,10.060872793197632,12,no,yes
3,long_input_long_output,0.12699151039123535,9.860247373580933,9.987238883972168,12,no,yes
5,long_input_long_output,0.08356046676635742,9.805594205856323,9.88915467262268,12,no,yes
93,short_input_short_output,0.0539853572845459,0.6204023361206055,0.6743876934051514,1,no,yes
4,long_input_long_output,0.4954037666320801,9.687687158584595,10.183090925216675,12,no,yes
11,long_input_long_output,0.24401259422302246,9.552005529403687,9.796018123626709,12,no,yes
8,long_input_long_output,0.6676414012908936,9.4801607131958,10.147802114486694,12,no,yes
14,long_input_long_output,0.08923983573913574,9.415383338928223,9.504623174667358,12,no,yes
16,long_input_long_output,0.12167978286743164,9.340110778808594,9.461790561676025,12,no,yes
19,long_input_long_output,0.11965489387512207,9.187368392944336,9.307023286819458,12,no,yes
21,long_input_long_output,0.1809837818145752,9.017802476882935,9.19878625869751,12,no,yes
23,long_input_long_output,0.2143712043762207,8.873615503311157,9.087986707687378,12,no,yes
62,short_input_long_output,2.012554168701172,4.985326051712036,6.997880220413208,8,no,yes
66,long_input_long_output,1.9816739559173584,7.649938106536865,9.631612062454224,12,no,yes
84,short_input_long_output,2.5496206283569336,4.623753547668457,7.173374176025391,8,no,yes
67,long_input_long_output,2.280280828475952,7.552637100219727,9.832917928695679,12,no,yes
96,short_input_long_output,2.5648255348205566,5.672083854675293,8.23690938949585,8,no,no
85,long_input_long_output,2.7666714191436768,10.712531328201294,13.47920274734497,12,no,no
92,long_input_long_output,2.8352954387664795,11.073352098464966,13.908647537231445,12,no,no
94,long_input_long_output,3.8191304206848145,11.624375820159912,15.443506240844727,12,no,no
26,short_input_long_output,14.15916109085083,9.127535820007324,23.286696910858154,8,yes,no
24,short_input_long_output,14.326247692108154,9.118350982666016,23.44459867477417,8,yes,no
25,short_input_long_output,14.400892972946167,9.12465763092041,23.525550603866577,8,yes,no
39,short_input_long_output,12.746301651000977,9.13222050666809,21.878522157669067,8,yes,no
46,short_input_long_output,12.43591594696045,9.081364393234253,21.517280340194702,8,yes,no
99,long_input_long_output,3.4131338596343994,11.977877855300903,15.391011714935303,12,no,no
47,short_input_long_output,12.5103600025177,9.084015369415283,21.594375371932983,8,yes,no
29,short_input_long_output,14.644087791442871,9.02867841720581,23.67276620864868,8,yes,no
49,short_input_long_output,12.747255325317383,9.02945351600647,21.776708841323853,8,yes,no
51,short_input_long_output,12.832626819610596,8.919170618057251,21.751797437667847,8,yes,no
