Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
0,long_input_short_output,0.03858613967895508,0.5877945423126221,0.6263806819915771,1,no,yes
2,long_input_short_output,0.03127884864807129,0.5647099018096924,0.5959887504577637,1,no,yes
1,short_input_short_output,0.03394508361816406,0.6100184917449951,0.6439635753631592,1,no,yes
3,long_input_short_output,0.027208328247070312,0.5669512748718262,0.5941596031188965,1,no,yes
5,long_input_short_output,0.04875040054321289,0.545649528503418,0.5943999290466309,1,no,yes
4,short_input_short_output,0.04916524887084961,0.5888309478759766,0.6379961967468262,1,no,yes
6,long_input_short_output,0.031085491180419922,0.5430092811584473,0.5740947723388672,1,no,yes
7,long_input_short_output,0.03675651550292969,0.5829634666442871,0.6197199821472168,1,no,yes
8,short_input_short_output,0.03500986099243164,0.7000627517700195,0.7350726127624512,1,no,yes
10,long_input_short_output,0.027047395706176758,0.6589882373809814,0.6860356330871582,1,no,yes
9,short_input_short_output,0.03942584991455078,0.6995759010314941,0.7390017509460449,1,no,yes
11,long_input_short_output,0.03537154197692871,0.6414306163787842,0.6768021583557129,1,no,yes
12,long_input_short_output,0.03185582160949707,0.6656849384307861,0.6975407600402832,1,no,yes
15,short_input_short_output,0.03675484657287598,0.6210553646087646,0.6578102111816406,1,no,yes
18,long_input_short_output,0.0315093994140625,0.6672239303588867,0.6987333297729492,1,no,yes
17,short_input_short_output,0.037332773208618164,0.7183237075805664,0.7556564807891846,1,no,yes
19,short_input_short_output,0.033936262130737305,0.7046692371368408,0.7386054992675781,1,no,yes
20,short_input_short_output,0.03942561149597168,0.6870200634002686,0.7264456748962402,1,no,yes
21,short_input_short_output,0.029389381408691406,0.690784215927124,0.7201735973358154,1,no,yes
23,short_input_short_output,0.040924787521362305,0.7130100727081299,0.7539348602294922,1,no,yes
24,short_input_short_output,0.04140639305114746,0.6895458698272705,0.730952262878418,1,no,yes
25,short_input_short_output,0.03903317451477051,0.6783506870269775,0.717383861541748,1,no,yes
26,short_input_short_output,0.029926538467407227,0.6805565357208252,0.7104830741882324,1,no,yes
27,long_input_short_output,0.03190469741821289,0.640448808670044,0.6723535060882568,1,no,yes
29,long_input_short_output,0.04949474334716797,0.670856237411499,0.720350980758667,1,no,yes
30,short_input_short_output,0.04452824592590332,0.7059345245361328,0.7504627704620361,1,no,yes
31,short_input_short_output,0.04086899757385254,0.7420480251312256,0.7829170227050781,1,no,yes
33,short_input_short_output,0.03378748893737793,0.9091942310333252,0.9429817199707031,1,no,yes
35,long_input_short_output,0.08220481872558594,0.8061854839324951,0.888390302658081,1,no,yes
36,long_input_short_output,0.03815317153930664,0.8664863109588623,0.904639482498169,1,no,yes
