Thread ID,Request Type,Waiting Time,Execution Time,Total Round Trip Time,SLA Time,Low Priority,SLA Met
2,short_input_short_output,0.031241416931152344,0.5992400646209717,0.630481481552124,1,no,yes
12,long_input_short_output,0.028636932373046875,0.6596941947937012,0.688331127166748,1,no,yes
13,long_input_short_output,0.08578014373779297,0.6031720638275146,0.6889522075653076,1,no,yes
6,short_input_long_output,0.06310534477233887,5.0574469566345215,5.12055230140686,8,no,yes
0,long_input_long_output,0.09855914115905762,7.942265510559082,8.04082465171814,12,no,yes
1,long_input_long_output,0.08474946022033691,7.90984320640564,7.994592666625977,12,no,yes
7,short_input_long_output,0.0642247200012207,5.108065605163574,5.172290325164795,8,no,yes
9,short_input_long_output,0.06032085418701172,5.082069158554077,5.142390012741089,8,no,yes
3,long_input_long_output,0.08148622512817383,7.959622859954834,8.041109085083008,12,no,yes
10,short_input_long_output,0.06313633918762207,5.154154539108276,5.217290878295898,8,no,yes
4,long_input_long_output,0.0871732234954834,7.995847225189209,8.083020448684692,12,no,yes
15,short_input_long_output,0.06316113471984863,5.02085018157959,5.0840113162994385,8,no,yes
5,long_input_long_output,0.07816433906555176,8.02490234375,8.103066682815552,12,no,yes
17,short_input_long_output,0.0641179084777832,4.892824172973633,4.956942081451416,8,no,yes
8,long_input_long_output,0.10288166999816895,8.010051012039185,8.112932682037354,12,no,yes
11,long_input_long_output,0.0914149284362793,7.881292819976807,7.972707748413086,12,no,yes
14,long_input_long_output,0.08129215240478516,7.789966106414795,7.87125825881958,12,no,yes
22,short_input_long_output,0.07189679145812988,4.7493603229522705,4.8212571144104,8,no,yes
24,short_input_long_output,0.14148998260498047,4.613152027130127,4.754642009735107,8,no,yes
16,long_input_long_output,0.09098052978515625,7.6652607917785645,7.756241321563721,12,no,yes
25,short_input_long_output,0.08329248428344727,4.621178865432739,4.7044713497161865,8,no,yes
30,long_input_short_output,0.04032111167907715,0.6227304935455322,0.6630516052246094,1,no,yes
32,short_input_short_output,0.05197882652282715,0.8115334510803223,0.8635122776031494,1,no,yes
26,short_input_long_output,0.24173426628112793,4.889869928359985,5.131604194641113,8,no,yes
21,long_input_long_output,1.3667945861816406,7.875697135925293,9.242491722106934,12,no,yes
35,short_input_short_output,0.035295963287353516,0.6664772033691406,0.7017731666564941,1,no,yes
23,long_input_long_output,0.20650243759155273,7.827385187149048,8.0338876247406,12,no,yes
37,long_input_short_output,0.03359699249267578,0.5657410621643066,0.5993380546569824,1,no,yes
29,short_input_long_output,0.06977152824401855,4.987249851226807,5.057021379470825,8,no,yes
20,short_input_long_output,0.781699180603027,4.953893661499023,5.73559284210205,8,yes,yes
18,short_input_long_output,2.467140197753906,5.009001016616821,7.476141214370728,8,yes,yes
27,long_input_long_output,0.1409151554107666,7.999208927154541,8.140124082565308,12,no,yes
43,long_input_short_output,0.049057722091674805,0.9044574737548828,0.9535151958465576,1,no,yes
28,long_input_long_output,0.10541367530822754,8.401847839355469,8.507261514663696,12,no,yes
31,long_input_long_output,0.10043454170227051,8.364031553268433,8.464466094970703,12,no,yes
33,long_input_long_output,0.21807861328125,8.332414388656616,8.550493001937866,12,no,yes
34,long_input_long_output,0.09592580795288086,8.301796913146973,8.397722721099854,12,no,yes
19,long_input_long_output,9.119062900543213,8.377992868423462,17.497055768966675,12,yes,no
36,long_input_long_output,0.10959410667419434,8.234515905380249,8.344110012054443,12,no,yes
50,long_input_short_output,0.05301260948181152,0.5593180656433105,0.6123306751251221,1,no,yes
39,short_input_long_output,0.07696151733398438,5.586365699768066,5.663327217102051,8,no,yes
42,short_input_long_output,0.08417201042175293,5.5412757396698,5.625447750091553,8,no,yes
55,short_input_short_output,0.06435537338256836,0.6496696472167969,0.7140250205993652,1,no,yes
44,short_input_long_output,0.08037686347961426,5.503046751022339,5.583423614501953,8,no,yes
38,long_input_long_output,0.10284662246704102,8.495007991790771,8.597854614257812,12,no,yes
45,short_input_long_output,0.3095982074737549,5.114534616470337,5.424132823944092,8,no,yes
46,short_input_long_output,0.07196497917175293,5.088606595993042,5.160571575164795,8,no,yes
47,short_input_long_output,0.08069920539855957,5.112945556640625,5.193644762039185,8,no,yes
57,short_input_short_output,0.05916762351989746,0.6651484966278076,0.7243161201477051,1,no,yes
40,long_input_long_output,0.10424065589904785,8.487539052963257,8.591779708862305,12,no,yes
41,long_input_long_output,0.10434770584106445,8.424419403076172,8.528767108917236,12,no,yes
49,short_input_long_output,0.08611130714416504,4.9900243282318115,5.076135635375977,8,no,yes
60,short_input_short_output,0.06711697578430176,0.8109655380249023,0.8780825138092041,1,no,yes
